1	-47.583	3.7583	-20.0
2	-55.035	4.5035	-10.0
3	67.621	2.2379	90.0
4	-42.674	3.2674	-20.0
5	-60.34	5.034	-10.0
6	-34.217	2.4217	-20.0
7	-52.78	4.278	-10.0
8	-55.035	4.5035	-10.0
9	-49.833	3.9833	-20.0
10	-47.583	3.7583	-20.0
11	-53.433	4.3433	-20.0
12	-45.62	3.562	-40.0
13	62.621	2.7379	90.0
14	-39.83	2.983	-10.0
15	-52.952	4.2952	-40.0
16	-25.52	2.552	-20.0
17	-24.264	2.4264	-20.0
18	-53.433	4.3433	-10.0
19	-39.333	2.9333	-10.0
20	-60.34	5.034	-20.0
21	-60.126	5.0126	90.0
22	-43.497	3.3497	-40.0
23	66.179	2.3821	-20.0
24	-50.45	4.045	-10.0
25	-51.734	4.1734	-10.0
26	-38.984	2.8984	-10.0
27	-41.381	3.1381	-10.0
28	-60.201	5.0201	-20.0
29	-61.246	5.1246	-10.0
30	-43.741	3.3741	90.0
31	-38.211	2.8211	-20.0
32	77.851	1.2149	90.0
33	-51.831	5.1831	-20.0
34	-47.811	3.7811	-40.0
35	63.042	2.6958	-10.0
36	-31.986	2.1986	-10.0
37	-45.802	3.5802	-20.0
38	-66.922	5.6922	-10.0
39	-32.451	2.2451	-20.0
40	-56.174	4.6174	-10.0
41	-55.035	4.5035	100.0
42	-31.074	2.1074	-40.0
43	-45.978	3.5978	-40.0
44	100.0	1.27	-20.0
45	-39.81	2.981	-40.0
46	-57.528	4.7528	-20.0
47	-37.133	2.7133	-10.0
48	-64.359	5.4359	-20.0
49	-45.773	3.5773	-20.0
50	-51.382	4.1382	-20.0
51	-33.741	3.3741	100.0
52	-54.511	4.4511	-10.0
53	-39.333	2.9333	190.0
54	-56.524	4.6524	-10.0
55	100.0	1.23	-20.0
56	-22.343	1.2343	-40.0
57	82.78	0.722	-20.0
58	-62.964	5.2964	-40.0
59	-28.88	1.888	-10.0
60	-40.414	3.0414	-10.0
61	-50.101	4.0101	-10.0
62	-36.928	2.6928	-20.0
63	-29.621	1.9621	-20.0
64	-64.149	5.4149	-10.0
65	-24.124	1.4124	-20.0
66	-56.524	4.6524	-40.0
67	-32.549	2.2549	-10.0
68	-15.312	1.5312	-20.0
69	-60.34	5.034	-20.0
70	-38.909	2.8909	-40.0
71	-41.927	3.1927	-20.0
72	-37.822	2.7822	-20.0
73	-46.524	3.6524	-10.0
74	-25.312	1.5312	-20.0
